"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R47,R37,R13,R27,R63,R31,R61,R5,R23,R21,R39,R17,R29,R1,R57,R7,R3,R55,R11,R35,R41,R25,R49,R19,R43,R33,R45,R59,R51,R15,R53,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";32;"330";;;
2;"K23,K1,K5,K26,K3,K13,K14,K10,K16,K27,K7,K24,K8,K29,K2,K28,K32,K19,K22,K25,K6,K20,K11,K31,K4,K15,K30,K21,K18,K9,K12,K17";"Relay_SPDT_Finder_32.21-x000";32;"Relay_SPDT";;;
3;"R62,R32,R30,R52,R2,R22,R50,R20,R56,R6,R4,R14,R60,R36,R28,R10,R16,R8,R26,R42,R18,R58,R54,R46,R44,R48,R40,R34,R24,R64,R12,R38";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";32;"1K";;;
4;"J11,J17,J27,J2,J10,J28,J6,J21,J31,J25,J14,J1,J24,J26,J22,J16,J13,J9,J4,J23,J19,J3,J30,J32,J8,J20,J29,J12,J18,J5,J7,J15";"TerminalBlock_bornier-3_P5.08mm";32;"~";;;
5;"J33";"BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal";1;"Jack-DC";;;
6;"Q23,Q11,Q14,Q10,Q24,Q30,Q28,Q6,Q15,Q2,Q22,Q18,Q13,Q26,Q1,Q27,Q19,Q21,Q12,Q25,Q31,Q29,Q32,Q3,Q9,Q7,Q16,Q17,Q8,Q4,Q20,Q5";"TO-92_Inline";32;"BC547";;;
7;"D59,D43,D47,D27,D11,D9,D45,D21,D23,D55,D49,D51,D29,D57,D7,D3,D61,D13,D25,D31,D19,D33,D53,D35,D41,D1,D5,D15,D63,D17,D39,D37";"D_DO-41_SOD81_P10.16mm_Horizontal";32;"1N4007";;;
8;"U36";"TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical";1;"LM2596S-ADJ";;;
9;"D2,D36,D6,D40,D24,D58,D42,D12,D50,D8,D44,D22,D18,D64,D4,D26,D14,D60,D38,D20,D32,D10,D16,D54,D28,D34,D46,D30,D48,D52,D62,D56";"LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm";32;"LED";;;
10;"U35,U34";"DIP-28_W7.62mm";2;"MCP23017_SP";;;
11;"U30,U19,U20,U23,U28,U31,U25,U32,U24,U17,U22,U26,U27,U18,U21,U29,U8,U6,U16,U2,U5,U7,U1,U15,U12,U14,U11,U10,U3,U4,U13,U9";"DIP-4_W7.62mm";32;"PC817";;;
12;"R65,R66";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"R";;;
13;"L1";"L_Axial_L9.5mm_D4.0mm_P15.24mm_Horizontal_Fastron_SMCC";1;"L";;;
14;"C2,C1";"CP_Radial_D4.0mm_P1.50mm";2;"C_Polarized";;;
15;"U33";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
16;"C4";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"C";;;
17;"D65";"D_DO-201AD_P15.24mm_Horizontal";1;"1N5822";;;
